City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Pedra Azul,BR,61.88,clear sky,-16.0053,-41.2972,Pousada Pedra Azul
9,Bagotville,AU,68.63,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
11,Kerman,IR,74.7,clear sky,30.2832,57.0788,هتل آپارتمان آسام
12,Rockland,US,74.64,overcast clouds,41.1668,-74.0496,National Camp Association
17,Epe,NG,73.51,scattered clouds,6.5841,3.9834,MAGVILLE HOTEL
20,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
23,Police,PL,65.53,overcast clouds,53.5521,14.5718,Hotel Dobosz
25,Bulaevo,KZ,64.45,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
26,Janauba,BR,74.77,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
27,Aktau,KZ,64.98,clear sky,43.65,51.2,Silk Way Hotel
32,Saint-Francois,FR,63.84,broken clouds,46.4154,3.9054,Manoir Du Bonheur
33,Toamasina,MG,70.25,light rain,-18.1667,49.3833,Hotel H1
34,Mananara,MG,70.84,scattered clouds,-16.1667,49.7667,Chez Roger
35,Lasa,IT,63.01,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
43,Bastia,FR,74.3,few clouds,42.6667,9.3333,Hotel Santa Maria
44,Pisticci,IT,74.8,broken clouds,40.3906,16.5568,Hotel Torre Fiore
48,Cerkezkoy,TR,64.58,mist,41.285,28.0003,City Hotel
49,Knurow,PL,64.51,overcast clouds,50.2197,18.6507,PROTOS
53,Jalu,LY,71.51,clear sky,29.0331,21.5482,صاحبة الفخامة
54,Barela,IN,74.21,heavy intensity rain,23.1,80.05,Shraddha Kewat House Jbp
62,Mizan Teferi,ET,62.73,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
69,Port Hawkesbury,CA,66.18,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
72,Morondava,MG,73.72,clear sky,-20.2833,44.2833,La Case Bambou
74,Treuchtlingen,DE,61.48,overcast clouds,48.95,10.9167,Gasthof Zum Goldenen Lamm
77,Kurchum,KZ,68.56,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
80,Nouadhibou,MR,72.21,clear sky,20.931,-17.0347,El Medina
81,Zhezkazgan,KZ,68.81,scattered clouds,47.8043,67.7144,Hotel Zumrat
82,Ginir,ET,60.69,overcast clouds,7.1333,40.7,Sura Dare Village
87,Hamilton,US,67.77,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
88,Viterbo,IT,69.4,overcast clouds,42.4167,12.0833,Best Western Hotel Viterbo
89,Moengo,SR,74.57,clear sky,5.6167,-54.4,Masanga
91,Cap-Aux-Meules,CA,61.72,moderate rain,47.3821,-61.8597,Auberge Madeli
95,Quelimane,MZ,70.36,clear sky,-17.8786,36.8883,Hotel Flamingo
100,Geraldton,AU,65.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
102,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
103,Tatawin,TN,73.27,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
111,Saint-Pierre,RE,73.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
113,Navalcarnero,ES,64.38,overcast clouds,40.2891,-4.012,Hotel Ciudad de Navalcarnero
116,Murrhardt,DE,63.81,overcast clouds,48.9819,9.5705,Hotel Restaurant Sonne-Post
118,Decatur,US,64.26,clear sky,39.8403,-88.9548,Haworth Cottage
123,Luangwa,ZM,66.83,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
124,Listvyagi,RU,62.92,overcast clouds,53.6772,86.951,Hotel Yeti House
125,Sergeyevka,KZ,64.58,overcast clouds,53.88,67.4158,Amina
126,Harvard,US,64.18,clear sky,42.4222,-88.6137,Baymont Inn
127,Asfi,MA,69.13,clear sky,32.2994,-9.2372,Hôtel Abda
129,Dakar,SN,73.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
131,Orel-Izumrud,RU,69.82,light intensity shower rain,43.4583,39.9244,Strana Magnoliy
133,Middletown,US,67.46,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
135,Peniche,PT,69.3,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
136,Jumla,NP,61.83,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
138,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Akcakoca,TR,62.02,overcast clouds,41.0866,31.1162,Turkuaz Beach Otel
144,Puerto Carreno,CO,74.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
148,Monze,ZM,68.45,clear sky,-16.2833,27.4833,Fay terry lodge
150,Busayra,JO,61.66,clear sky,30.7376,35.6078,Matan Eco Villege
151,Oneonta,US,65.08,moderate rain,42.4529,-75.0638,Hampton Inn Oneonta
152,Peachtree City,US,70.48,moderate rain,33.3968,-84.5958,Hilton Garden Inn Atlanta/Peachtree City
153,Lorca,ES,70.63,clear sky,37.6712,-1.7017,Jardines De Lorca
156,Ajdabiya,LY,70.29,clear sky,30.7554,20.2263,Almadina Hotel
157,Veliki Trnovac,RS,60.64,scattered clouds,42.4767,21.7405,Privatni smeštaj Andrejević
162,Ptghni,AM,63.63,clear sky,40.2558,44.5841,Avant Garde Hotel
167,Sanary-Sur-Mer,FR,73.62,overcast clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
168,Marrakesh,MA,69.87,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
171,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
173,Khabary,RU,66.0,overcast clouds,53.6259,79.5345,ИП Аксёнова С.В.
174,Torrevieja,ES,74.08,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
175,San Jose,US,64.78,clear sky,37.3394,-121.895,The Westin San Jose
180,Monte Carmelo,BR,74.17,clear sky,-18.7247,-47.4986,Park hotel
184,Pisco,PE,61.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
191,At-Bashi,KG,64.09,clear sky,41.1702,75.8106,Hostel At-Bashy
197,Zaragoza,ES,68.45,few clouds,41.6561,-0.8773,Hotel Goya
198,Zlocieniec,PL,63.05,overcast clouds,53.5329,16.0113,Hotel OMEGA - Złocieniec
199,Termoli,IT,73.83,overcast clouds,41.9888,14.9895,Hotel Mistral
202,Vila Franca Do Campo,PT,64.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
203,Rieti,IT,69.39,broken clouds,42.4072,12.8592,Hotel Miramonti
206,Beyneu,KZ,71.76,clear sky,45.3167,55.2,NUR
209,Slavonice,CZ,64.98,light rain,48.9975,15.3515,Design Hotel Besídka
211,Mahon,ES,72.16,light rain,39.8885,4.2658,ARTIEM Capri
214,Brewster,US,74.3,few clouds,41.3973,-73.6171,Heidi's Inn
216,Arona,ES,68.31,few clouds,28.0996,-16.681,Paradise Court
218,Olean,US,61.09,clear sky,42.0776,-78.4297,Best Western Plus University Inn
222,Liverpool,GB,60.58,light intensity drizzle,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
223,Cap Malheureux,MU,69.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
224,Alcaniz,ES,68.43,light rain,41.05,-0.1333,Hotel Ciudad de Alcañiz
227,Mattru,SL,71.94,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
232,Huarmey,PE,61.95,overcast clouds,-10.0681,-78.1522,Hotel Miramar
242,Ondjiva,AO,60.42,clear sky,-17.0667,15.7333,SOS Motel
244,Porto Novo,BJ,74.25,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
245,Tikamgarh,IN,74.48,overcast clouds,24.745,78.8333,White House
251,Kyzyl-Suu,KG,65.57,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
254,Trud,BG,62.19,clear sky,42.2333,24.7333,Къща ХВ
257,Vranjska Banja,RS,60.87,few clouds,42.555,21.9922,Inn Zormaris-M
258,Sile,TR,66.87,overcast clouds,41.1754,29.6133,Phellos Suites
263,Jackson,US,70.75,clear sky,42.4165,-122.8345,Agate Village Apartments
267,Hammelburg,DE,65.05,overcast clouds,50.1167,9.9,Kaisers Weinland Hotel
268,Altoona,US,67.89,overcast clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
272,Gibraleon,ES,67.01,clear sky,37.3763,-6.969,Finca Caja del Agua
273,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
275,Muros,ES,63.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
277,Heywood,GB,60.01,scattered clouds,53.5924,-2.2194,Mercure Manchester Norton Grange Hotel & Spa
