,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aswan,EG,24.0934,32.907,79.3,31,2,11.54,clear sky
1,Berlevag,NO,70.8578,29.0864,37.4,74,63,6.58,broken clouds
2,Puerto Lempira,HN,15.2667,-83.7667,76.84,89,76,7.81,broken clouds
3,Pedra Azul,BR,-16.0053,-41.2972,61.88,82,0,3.6,clear sky
4,Saint-Augustin,CA,51.226,-58.6502,52.02,96,100,19.95,overcast clouds
5,Synya,RU,65.3718,58.0387,40.98,84,100,6.24,overcast clouds
6,Svetlyy,RU,54.675,20.1347,53.65,85,100,13.89,moderate rain
7,Khislavichi,RU,54.1871,32.1582,36.66,95,1,5.86,clear sky
8,Totness,SR,5.8833,-56.3167,80.02,84,0,11.07,clear sky
9,Bagotville,AU,-28.9833,153.4167,68.63,63,32,12.97,scattered clouds
10,Poretskoye,RU,55.1974,46.3291,46.63,77,99,6.69,overcast clouds
11,Kerman,IR,30.2832,57.0788,74.7,6,0,1.5,clear sky
12,Rockland,US,41.1668,-74.0496,74.64,81,100,3.69,overcast clouds
13,Aulnoye-Aymeries,FR,50.2014,3.8384,53.28,95,4,2.39,clear sky
14,Comodoro Rivadavia,AR,-45.8667,-67.5,51.37,63,38,9.06,scattered clouds
15,Yekimovichi,RU,54.1129,33.2965,36.81,95,5,4.47,clear sky
16,Kalaleh,IR,37.3807,55.4916,77.09,67,2,2.77,clear sky
17,Epe,NG,6.5841,3.9834,73.51,96,41,2.64,scattered clouds
18,Kaunas,LT,54.9,23.9,46.58,87,90,6.91,overcast clouds
19,Daphne,US,30.6035,-87.9036,77.56,87,90,11.5,overcast clouds
20,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,0,11.5,clear sky
21,Erie,US,42.7667,-78.6664,59.13,94,83,2.06,broken clouds
22,Rundu,NA,-17.9333,19.7667,63.0,22,2,4.34,clear sky
23,Police,PL,53.5521,14.5718,65.53,99,99,1.01,overcast clouds
24,Kharitonovo,RU,61.4009,47.4978,42.21,92,100,9.48,overcast clouds
